time,ADBNL,BOK,Century,Citizen,Civil,EBL,Global,HBL,Kumari,Laxmi,MBL,Mega,NABIL,NBB,NBL,NCC,NIBL,NICASIA,NMB,NSBI,Prabhu,Prime,RBB,Sanima,SBL,SCBNL,Sunrise
2011Q1,34811.8,29194.2,1859.7,15173.6,4237.5,43955.9,20761.3,44515.7,18006.6,18806.6,16596.7,6925.4,54142.1,12189.5,46691,11544.7,51598.7,33419.7,13463,46117.2,23217.3,20186.6,72034.8,6843.7,21617.5,40705.5,15524.4
2011Q2,37174.4,29690.8,2427,15593.8,5405.8,45922.8,22267.3,46487.3,19254.4,19169.7,18024.9,8174.5,56465.4,12887.8,46744,12738.5,53138.4,33631.9,13949.8,50357.9,24541.3,21362,72065.1,7121.6,22011.3,39910.5,16001.4
2011Q3,41219.4,31586,3346,16183.6,7135.2,46349.2,26328.4,46202.7,20586.7,20435.1,18375,9409.6,53928.5,14063.2,48974,14478.6,54933.3,34556.8,13860.7,53729.9,25395.8,21939.2,78340,9164.7,23808.7,37107.2,17710
2011Q4,43239,32660,4460.7,17354.5,8807.5,50006.1,49679.7,47731,21985.2,22831.8,21545.3,9192.6,55023.7,16997.9,56042.6,16485.4,57010.6,37463.1,15982.6,53337.1,27637.7,23991,87775,11178.7,26019,35965.6,18756.5
2012Q1,45982.9,33191,6998.1,17598.8,10336.3,50050.9,52194.5,48153.1,22542.7,22645,21858.1,10925.4,59488.7,15763.2,56113.9,17699.4,54434.9,35871.3,15962.9,51698,27482.3,23207,87659.7,12746.1,25318.5,34993.7,20582.7
2012Q2,44971.7,33175.9,8161.4,19636,11002.1,49222.7,56096.3,47536.6,23423.4,23717,22552.2,11826.7,58996,15104.6,57014.2,18585.8,55137.4,38220.5,17052.4,54099.7,28504.9,24395.7,86166.5,14470.7,26713.8,37050,22157.7
2012Q3,47234.3,33812.9,9355.4,21420.7,11536.4,51293.4,58824.6,47916.2,23923.6,24207.9,24740.9,12842.2,57597.9,14708.1,57062.8,18535.1,58525.4,39134.3,19640.9,53667,28577.6,25669.9,85887,16178.2,27231.8,38255.1,22170.6
2012Q4,54397.1,38517.9,11361.6,22724.6,15633.2,57720.5,67001.1,53072.3,25318.6,25960.6,27137.9,12533.5,63611.3,17879.9,62988.9,21650.8,62428.9,39911.9,22185.5,58920.5,29325.2,28814.1,91093.9,17782.4,28392.8,39466.5,23270.6
2013Q1,60686.1,39794.9,12926.6,23276.4,15703.6,58693.3,68806.7,59361.5,25899.5,26593.4,28897.5,13921.9,71928.9,20867.7,63034.7,22638.4,71146,37855.8,20203.9,56373.1,29746.1,26258,92781.6,18102.6,29169.5,40017.2,26010.5
2013Q2,64966.1,41860.5,14286,24185.7,18485.8,59922.3,71864.1,59767.2,27401.9,28190.1,31114.3,15091.6,69097.4,23700.2,64325.5,22017.3,71996.4,38441.1,23191.5,56445.9,29046.5,26946.7,97006.6,19889.9,31420,40026.4,25329.6
